1993/06/08	1993/SN+//SP+06/SN+//SP+08/SN
23종이	23/SN+종/NNG+이/JKS
도수안경의	도수/NNG+안경/NNG+의/JKG
경우	경우/NNG
일반제품의	일반/NNG+제품/NNG+의/JKG
2배인	2/SN+배/NNG+이/VCP+ㄴ/ETM
3만원선.	3/SN+만/NR+원/NNB+선/NNG+./SF
수입품은	수입품/NNG+은/JX
2만원을	2/SN+만/NR+원/NNB+을/JKO
넘는다.	넘/VV+는다/EF+./SF
수영할	수영/NNG+하/XSV+ㄹ/ETM
눈을	눈/NNG+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
렌즈의	렌즈/NNG+의/JKG
굴절력과	굴절력/NNG+과/JC
고무	고무/NNG
밴드의	밴드/NNG+의/JKG
내구성이	내구/NNG+성/XSN+이/JKS
제품	제품/NNG
선택의	선택/NNG+의/JKG
포인트다.	포인트/NNG+이/VCP+다/EF+./SF
또	또/MAG
사물이	사물/NNG+이/JKS
굴절돼	굴절/NNG+되/XSV+어/EC
제대로	제대로/MAG
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
제품도	제품/NNG+도/JX
조사	조사/NNG
대상의	대상/NNG+의/JKG
20%나	20/SN+%/SW+나/JX
됐었다.	되/VV+었었/EP+다/EF+./SF
따라서	따라서/MAJ
물안경을	물안경/NNG+을/JKO
살	살/VV+ㄹ/ETM
때는	때/NNG+는/JX
직접	직접/MAG
쓰고	쓰/VV+고/EC
걸음을	걸음/NNG+을/JKO
걸어	걸/VV+어/EC
어지럽지	어지럽/VA+지/EC
않은지,	않/VX+은지/EC+,/SP
보이는	보이/VV+는/ETM
지를	지/NNG+를/JKO
확인하는	확인/NNG+하/XSV+는/ETM
게	것/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF
소보원의	소보원/NNG+의/JKG
조사에서	조사/NNG+에서/JKB
아무런	아무런/MM
문제도	문제/NNG+도/JX
발견되지	발견/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
모두	모두/MAG
11	11/SN
개.	개/NNB+./SF
가격에	가격/NNG+에/JKB
품질의	품질/NNG+의/JKG
차이가	차이/NNG+가/JKS
크지	크/VA+지/EC
않으나	않/VX+으나/EC
5천원	5/SN+천/NR+원/NNB
미만의	미만/NNG+의/JKG
대부분	대부분/NNG
밴드가	밴드/NNG+가/JKS
쉽게	쉽/VA+게/EC
찢어지는	찢어지/VV+는/ETM
흠이었다.	흠/NNG+이/VCP+었/EP+다/EF+./SF
23	23/SN
43국	43/SN+국/NNG
참가	참가/NNG
서울	서울/NNP
관광전	관광전/NNG
개막	개막/NNG
민속	민속/NNG
공연	공연/NNG
홍보	홍보/NNG
중국	중국/NNP
코너	코너/NNG
50여개	50/SN+여/XSN+개/NNB
최다	최다/NNG
국내외	국내외/NNG
관광지와	관광지/NNG+와/JKB
관광업체를	관광/NNG+업체/NNG+를/JKO
한	하/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
소개하는	소개/NNG+하/XSV+는/ETM
관광	관광/NNG
교역전이	교역전/NNG+이/JKS
10일	10/SN+일/NNB
종합전시장(KOEX)	종합/NNG+전시장/NNG+(/SS+KOEX/SL+)/SS
대서양관에서	대서양관/NNP+에서/JKB
개막됐다.	개막/NNG+되/XSV+었/EP+다/EF+./SF
제1차	제/XPN+1/SN+차/NNB
한국관광진흥회	한국관광진흥회/NNP
및	및/MAG
OTF	OTF/SL
관광교역전으로	관광/NNG+교역전/NNG+으로/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
전시회는	전시회/NNG+는/JX
43	43/SN
개	개/NNB
나라,	나라/NNG+,/SP
6백여	6/SN+백/NR+여/XSN
업체가	업체/NNG+가/JKS
참가,	참가/NNG+,/SP
12일부터	12/SN+일/NNB+부터/JX
일반에	일반/NNG+에/JKB
공개된다.	공개/NNG+되/XSV+ㄴ다/EF+./SF
11일	11/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
인터콘티넨탈	인터콘티넨탈/NNP
호텔에서	호텔/NNG+에서/JKB
한국일반여행업협회	한국/NNP+일반/NNG+여행업/NNG+협회/NNG
주최로	주최/NNG+로/JKB
한국관광	한국/NNP+관광/NNG
진흥회의	진흥회/NNG+의/JKG
개회식이	개회식/NNG+이/JKS
이	이/MM
회의를	회의/NNG+를/JKO
비롯,	비롯/XR+,/SP
관광전에	관광전/NNG+에/JKB
참여하기	참여/NNG+하/XSV+기/ETN
서울에	서울/NNP+에/JKB
온	오/VV+ㄴ/ETM
해외	해외/NNG
관계자만도	관계자/NNG+만/JX+도/JX
2천여명.	2/SN+천/NR+여/XSN+명/NNB+./SF
하와이,	하와이/NNP+,/SP
필리핀,	필리핀/NNP+,/SP
괌	괌/NNP
나라의	나라/NNG+의/JKG
무용	무용/NNG
공연이	공연/NNG+이/JKS
펼쳐지는	펼쳐지/VV+는/ETM
화려한	화려/XR+하/XSA+ㄴ/ETM
분위기	분위기/NNG
속에	속/NNG+에/JKB
14일까지	14/SN+일/NNB+까지/JX
계속되는	계속/NNG+되/XSV+는/ETM
관광전은	관광전/NNG+은/JX
올	올/MM
여행을	여행/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
사람이라면	사람/NNG+이/VCP+라면/EC
무료로	무료/NNG+로/JKB
나눠	나누/VV+어/EC
주는	주/VV+는/ETM
현지	현지/NNG
자료도	자료/NNG+도/JX
얻고	얻/VV+고/EC
관련	관련/NNG
정보를	정보/NNG+를/JKO
접할	접하/VV+ㄹ/ETM
기회다.	기회/NNG+이/VCP+다/EF+./SF
멕시코,	멕시코/NNP+,/SP
자메이카	자메이카/NNP
남미	남미/NNP
국가도	국가/NNG+도/JX
우리	우리/NP
나라에서	나라/NNG+에서/JKB
관광전으로는	관광전/NNG+으로/JKB+는/JX
처음	처음/NNG
해외여행	해외여행/NNG
개방	개방/NNG
이후	이후/NNG
나라가	나라/NNG+가/JKS
세계적으로	세계/NNG+적/XSN+으로/JKB
관광객	관광객/NNG
발굴의	발굴/NNG+의/JKG
황금시장으로	황금/NNG+시장/NNG+으로/JKB
여겨지고	여기/VV+어/EC+지/VX+고/EC
현실을	현실/NNG+을/JKO
반증한다.	반증/NNG+하/XSV+ㄴ다/EF+./SF
여러	여러/MM
여행	여행/NNG
관광업계	관광업/NNG+계/XSN
인사가	인사/NNG+가/JKS
참관할	참관/NNG+하/XSV+ㄹ/ETM
그러나	그러나/MAJ
한국	한국/NNP
시장을	시장/NNG+을/JKO
외국에	외국/NNG+에/JKB
널리	널리/MAG
알린다는	알리/VV+ㄴ다는/ETM
개최	개최/NNG
의도와는	의도/NNG+와/JKB+는/JX
거리가	거리/NNG+가/JKS
먼	멀/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF
우선	우선/MAG
국내	국내/NNG
참가가	참가/NNG+가/JKS
너무	너무/MAG
적고	적/VV+고/EC
지방	지방/NNG
자치	자치/NNG
단체들의	단체/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
것이	것/NNB+이/JKS
주원인으로	주원인/NNG+으로/JKB
지적되고	지적/NNG+되/XSV+고/EC
자동차	자동차/NNG
경기장	경기장/NNG
모터파크	모터파크/NNP
첫	첫/MM
아스팔트포장…	아스팔트/NNG+포장/NNG+…/SE
자연농원서	자연농원/NNP+서/JKB
9월개장	9/SN+월/NNB+개장/NNG
우리나라에서	우리나라/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
아스팔트	아스팔트/NNG
포장	포장/NNG
상설	상설/NNG
경기장이	경기장/NNG+이/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF
오는	오/VV+는/ETM
9월	9/SN+월/NNB
개장할	개장/NNG+하/XSV+ㄹ/ETM
모터파크는	모터파크/NNP+는/JX
속도	속/NNG+도/JX
경주(레이스)와	경주/NNG+(/SS+레이스/NNG+)/SS+와/JC
장애물	장애물/NNG
경주(짐카나)를	경주/NNP+(/SS+짐카나/NNG+)/SS+를/JKO
시설을	시설/NNG+을/JKO
갖추고	갖추/VV+고/EC
그런	그런/MM
만큼	만큼/NNB
경기장에	경기장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
요구도	요구/NNG+도/JX
높았다고	높/VA+았/EP+다고/EC
자연농원	자연농원/NNP
레이싱팀	레이싱/NNG+팀/NNG
송호진	송호진/NNP
씨는	씨/NNB+는/JX
서킷	서킷/NNG
경주장은	경주장/NNG+은/JX
코스	코스/NNG
길이가	길이/NNG+가/JKS
2천m	2/SN+천/NR+m/SL
안팎인	안팎/NNG+이/VCP+ㄴ/ETM
경우는	경우/NNG+는/JX
국내용으로,	국내/NNG+용/XSN+으로/JKB+,/SP
3천m	3/SN+천/NR+m/SL
이상인	이상/NNG+이/VCP+ㄴ/ETM
국제	국제/NNG
대회용으로	대회/NNG+용/XSN+으로/JKB
분류되고	분류/NNG+되/XSV+고/EC
경주	경주/NNP
인구는	인구/NNG+는/JX
한국자동차협회에	한국자동차협회/NNP+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
선수가	선수/NNG+가/JKS
4백여명,	4/SN+백/NR+여/XSN+명/NNB+,/SP
아마추어	아마추어/NNG
애호가	애호가/NNG
회원이	회원/NNG+이/JKS
1천여명으로,	1/SN+천/NR+여/XSN+명/NNB+으로/JKB+,/SP
아직	아직/MAG
프로	프로/NNG
선수는	선수/NNG+는/JX
없는	없/VA+는/ETM
실정.	실정/NNG+./SF
레이스	레이스/NNG
선수	선수/NNG
자격을	자격/NNG+을/JKO
딴	딴/MM
사람은	사람/NNG+은/JX
없지만,	없/VA+지만/EC+,/SP
국제자동차연맹에	국제/NNG+자동차/NNG+연맹/NNG+에/JKB
랠리	랠리/NNG
선수로	선수/NNG+로/JKB
4∼5	4/SN+∼/SO+5/SN
명으로,	명/NNB+으로/JKB+,/SP
파리∼다카르	파리/NNP+∼/SO+다카르/NNP
랠리,	랠리/NNG+,/SP
파리∼북경	파리/NNP+∼/SO+북경/NNP
랠리에	랠리/NNG+에/JKB
참가하기도	참가/NNG+하/XSV+기/ETN+도/JX
했다.	하/VV+았/EP+다/EF+./SF
1993/06/12	1993/SN+//SP+06/SN+//SP+12/SN
09	09/SN
임부	임부/NNG
정장식	정장식/NNG
패션	패션/NNG
넉넉한	넉넉/XR+하/XSA+ㄴ/ETM
블라우스등	블라우스/NNG+등/NNB
출근용	출근/NNG+용/XSN
무난	무난/NNG
임부복이	임부복/NNG+이/JKS
달라지고	달라지/VV+고/EC
여성들이	여성/NNG+들/XSN+이/JKS
결혼	결혼/NNG
후에도	후/NNG+에/JKB+도/JX
자기	자기/NP
일을	일/NNG+을/JKO
계속	계속/MAG
갖는	갖/VV+는/ETM
일반화되면서,	일반/NNG+화/XSN+되/XSV+면서/EC+,/SP
정장	정장/NNG
스타일의	스타일/NNG+의/JKG
나오고	나오/VV+고/EC
옷이	옷/NNG+이/JKC
가벼워지는	가볍/VA+어/EC+지/VX+는/ETM
여름은	여름/NNG+은/JX
몸의	몸/NNG+의/JKG
변화가	변화/NNG+가/JKS
두드러지게	두드러지/VV+게/EC
드러나지	드러나/VV+지/EC
않도록	않/VX+도록/EC
하는	하/VV+는/ETM
어려운	어렵/VA+ㄴ/ETM
계절.	계절/NNG+./SF
배부른	배부르/VA+ㄴ/ETM
것을	것/NNB+을/JKO
감추기	감추/VV+기/ETN
꼭	꼭/MAG
끼는	끼/VV+는/ETM
속옷을	속옷/NNG+을/JKO
입거나	입/VV+거나/EC
일상복을	일상복/NNG+을/JKO
입으면	입/VV+으면/EC
겉모습이	겉모습/NNG+이/JKS
자연스럽지	자연/NNG+스럽/XSA+지/EC
못한	못/MAG+하/VV+ㄴ/ETM
물론	물론/MAG
아기와	아기/NNG+와/JC
엄마	엄마/NNG
모두에게	모두/NNG+에게/JKB
좋지	좋/VA+지/EC
않으므로,	않/VX+으므로/EC+,/SP
자연스럽게	자연/NNG+스럽/XSA+게/EC
체형의	체형/NNG+의/JKG
변화를	변화/NNG+를/JKO
커버할	커버/NNG+하/XSV+ㄹ/ETM
골라야	고르/VV+아/EC+야/EC
한다.	하/VX+ㄴ다/EF+./SF
요즘	요즘/NNG
70년대	70/SN+년대/NNB
복고	복고/NNG
바람이	바람/NNG+이/JKS
불면서,	불/VV+면서/EC+,/SP
A라인이	A/SL+라인/NNG+이/JKS
일상복에도	일상복/NNG+에/JKB+도/JX
쓰여	쓰이/VV+어/EC
임부복도	임부복/NNG+도/JX
동화되고	동화/NNG+되/XSV+고/EC
임부복	임부복/NNG
전문	전문/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
몽실의	몽실/NNP+의/JKG
2∼3년전만	2/SN+∼/SO+3/SN+년/NNB+전/NNG+만/JX
해도	하/VV+아도/EC
등으로	등/NNB+으로/JKB
귀여운	귀엽/VA+ㄴ/ETM
맛을	맛/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
홈웨어풍의	홈웨어/NNG+풍/XSN+의/JKG
나갔으나	나가/VV+았/EP+으나/EC
요즘은	요즘/NNG+은/JX
개념으로	개념/NNG+으로/JKB
블라우스와	블라우스/NNG+와/JC
치마,	치마/NNG+,/SP
반바지,	반바지/NNG+,/SP
긴	길/VA+ㄴ/ETM
바지,	바지/NNG+,/SP
조끼	조끼/NNG
등을	등/NNB+을/JKO
맞춰입을	맞추/VV+어/EC+입/VV+을/ETM
단품이	단품/NNG+이/JKS
홈웨어의	홈웨어/NNG+의/JKG
2배	2/SN+배/NNG
이상	이상/NNG
나간다는	나가/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF
임부는	임부/NNG+는/JX
몸	몸/NNG
움직임이	움직임/NNG+이/JKS
느려	느리/VA+어/EC
자칫	자칫/MAG
둔해	둔하/VA+아/EC
보일	보이/VV+ㄹ/ETM
있으므로	있/VV+으므로/EC
직장에서는	직장/NNG+에서/JKB+는/JX
경쾌한	경쾌/XR+하/XSA+ㄴ/ETM
내는	내/VV+는/ETM
옷	옷/NNG
색깔은	색깔/NNG+은/JX
파스텔조나	파스텔조/NNG+나/JC
무늬가	무늬/NNG+가/JKS
현란한	현란/NNG+하/XSA+ㄴ/ETM
몸을	몸/NNG+을/JKO
더	더/MAG
크게	크/VA+게/EC
보이게	보이/VV+게/EC
하므로	하/VX+므로/EC
흰색과	흰색/NNG+과/JC
감청색,	감청색/NNG+,/SP
파랑,	파랑/NNG+,/SP
빨강	빨강/NNG
선명한	선명/NNG+하/XSA+ㄴ/ETM
색깔에	색깔/NNG+에/JKB
무늬도	무늬/NNG+도/JX
기하학적인	기하학/NNG+적/XSN+이/VCP+ㄴ/ETM
단순한	단순/NNG+하/XSA+ㄴ/ETM
선이나	선/NNG+이나/JC
잔	잔/NNG
물방울	물방울/NNG
알맞다.	알맞/VA+다/EF+./SF
구두는	구두/NNG+는/JX
굽이3∼4㎝	굽이/NNG+3/SN+∼/SO+4/SN+㎝/SW
정도가	정도/NNG+가/JKS
속도감	속도감/NNG
안전한	안전/NNG+하/XSA+ㄴ/ETM
높이.	높이/NNG+./SF
높은	높/VA+은/ETM
발목과	발목/NNG+과/JC
무릎에	무릎/NNG+에/JKB
무리를	무리/NNG+를/JKO
줄	줄/NNB
주의해야	주의/NNG+하/XSV+아야/EC
임부용	임부/NNG+용/XSN
속옷도	속옷/NNG+도/JX
다양하게	다양/NNG+하/XSA+게/EC
거들은	거/NNG+들/XSN+은/JX
배	배/NNP
부분을	부분/NNG+을/JKO
둥글게	둥글/VA+게/EC
받쳐주는	받치/VV+어/EC+주/VX+는/ETM
덮개가	덮개/NNG+가/JKS
하나	하나/NR
전용과,	전용/NNG+과/JC+,/SP
출산	출산/NNG
몸매	몸매/NNG
보정용으로	보정/NNG+용/XSN+으로/JKB
입을	입/NNG+을/JKO
웨이스트	웨이스트/NNG
니퍼형거들	니퍼/NNP+형거/NNG+들/XSN
두	두/MM
종류가	종류/NNG+가/JKS
스타킹도	스타킹/NNG+도/JX
있으나	있/VV+으나/EC
국산은	국산/NNG+은/JX
없고	없/VA+고/EC
미국산	미국/NNP+산/XSN
수입품	수입품/NNG
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF
면으로	면/NNG+으로/JKB
된	되/VV+ㄴ/ETM
땀을	땀/NNG+을/JKO
흡수하는	흡수/NNG+하/XSV+는/ETM
좋으며,	좋/VA+으며/EC+,/SP
흘리는	흘리/VV+는/ETM
근무	근무/NNG
중간에도	중간/NNG+에/JKB+도/JX
스타킹을	스타킹/NNG+을/JKO
번	번/NNB
정도	정도/NNG
갈아신는	갈/VV+아/EC+시/VV+ㄴ/ETM+는/ETM
좋다.	좋/VA+다/EF+./SF
앙드레	앙드레/NNP
김	김/NNP
북경	북경/NNP
컬렉션	컬렉션/NNG
고대	고대/NNG
유적지서	유적지/NNG+서/JKB
힌트…	힌트/NNG+…/SE
오늘부터	오늘/NNG+부터/JX
3일간	3/SN+일/NNB+간/NNG
열어	열/VV+어/EC
패션쇼에	패션쇼/NNG+에/JKB
나오는	나오/VV+는/ETM
작품은	작품/NNG+은/JX
투피스와	투피스/NNG+와/JC
이브닝	이브닝/NNG
드레스	드레스/NNG
2백여점.	2/SN+백/NR+여/XSN+점/NNB+./SF
앙드레김	앙드레김/NNP
유적지	유적지/NNG
곳곳을	곳곳/NNG+을/JKO
돌아	돌/VV+아/EC
보고	보/VV+고/EC
느낀	느끼/VV+ㄴ/ETM
문명의	문명/NNG+의/JKG
기품	기품/NNG
웅장한	웅장/XR+하/XSA+ㄴ/ETM
모습과	모습/NNG+과/JC
21세기를	21/SN+세기/NNG+를/JKO
향한	향하/VV+ㄴ/ETM
세계인의	세계인/NNG+의/JKG
화합을	화합/NNG+을/JKO
작품으로	작품/NNG+으로/JKB
형상화하려고	형상/NNG+화/XSN+하/XSV+려고/EC
했다	하/VV+았/EP+다/EC
황금색,	황금색/NNG+,/SP
연두,	연두/NNG+,/SP
귤색	귤색/NNG
색을	색/NNG+을/JKO
주로	주로/MAG
사용하고	사용/NNG+하/XSV+고/EC
개의	개/NNB+의/JKG
가운을	가운/NNG+을/JKO
겹겹이	겹겹이/MAG
입는	입/VV+는/ETM
파티의상	파티/NNG+의상/NNG
색다른	색다르/VA+ㄴ/ETM
시도를	시도/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
1993/06/15	1993/SN+//SP+06/SN+//SP+15/SN
여성	여성/NNG
범죄	범죄/NNG
30∼40대…	30/SN+∼/SO+40/SN+대/NNB+…/SE
심영희	심영희/NNP
교수	교수/NNG
밝혀	밝히/VV+어/EC
사회의	사회/NNG+의/JKG
성격이	성격/NNG+이/JKS
변하고	변하/VV+고/EC
지난	지나/VV+ㄴ/ETM
65년에	65/SN+년/NNB+에/JKB
도둑은	도둑/NNG+은/JX
절반	절반/NNG
이하로	이하/NNG+로/JKB
준	주/VV+ㄴ/ETM
반해	반/NNG+하/XSV+아/EC
사기는	사기/NNG+는/JX
7배,	7/SN+배/NNG+,/SP
배임	배임/NNG
문서	문서/NNG
위조는	위조/NNG+는/JX
5배나	5/SN+배/NNG+나/JX
느는	늘/VV+는/ETM
재산	재산/NNG
범죄는	범죄/NNG+는/JX
급격히	급격히/MAG
많아진	많/VA+아/EC+지/VX+ㄴ/ETM
나타났다.	나타나/VV+았/EP+다/EF+./SF
범죄자는	범죄자/NNG+는/JX
대개	대개/MAG
30∼40대	30/SN+∼/SO+40/SN+대/NNB
기혼	기혼/NNG
여성으로,	여성/NNG+으로/JKB+,/SP
남성	남성/NNG
범죄가	범죄/NNG+가/JKS
20대	20/SN+대/NNB
미혼자에게서	미혼자/NNG+에게서/JKB
일어나는	일어나/VV+는/ETM
것과	것/NNB+과/JKB
대조를	대조/NNG+를/JKO
보인다고	보이/VV+ㄴ다고/EC
지적한	지적/NNG+하/XSV+ㄴ/ETM
심교수는	심/NNP+교수/NNG+는/JX
가족	가족/NNG
때문에	때문/NNB+에/JKB
죄를	죄/NNG+를/JKO
짓는	짓/VV+는/ETM
여성이	여성/NNG+이/JKS
많다는	많/VA+다는/ETM
의미	의미/NNG
라고	라고/JKQ
폭력	폭력/NNG
살인	살인/NNG
강력	강력/XR
범죄를	범죄/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
여성들	여성/NNG+들/XSN
역시	역시/MAG
가정	가정/NNG
문제의	문제/NNG+의/JKG
피해자며	피해자/NNG+이/VCP+며/EC
희생자인	희생자/NNG+이/VCP+ㄴ/ETM
경우가	경우/NNG+가/JKS
많은	많/VA+은/ETM
여성의	여성/NNG+의/JKG
오랜	오랜/MM
학대와	학대/NNG+와/JC
피해,	피해/NNG+,/SP
성적	성/NNG+적/XSN
학대에	학대/NNG+에/JKB
